No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
231,สิงหาคม,2567,สายสีทอง,2,14,30,0,0,0,0,0,1,0,0,0,1
232,สิงหาคม,2567,สายสีน้ำเงิน ,2,14,14,0,1,0,0,0,0,0,0,0,1
233,สิงหาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
234,สิงหาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),2,17,17,0,0,1,0,0,0,0,1,0,0
235,สิงหาคม,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
236,สิงหาคม,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
237,สิงหาคม,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
238,สิงหาคม,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
239,กันยายน,2567,สายสีเขียว (สายสุขุมวิท),1,41,41,0,0,0,1,0,0,0,0,0,0
240,กันยายน,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
241,กันยายน,2567,สายสีทอง,1,26,26,1,0,0,0,0,0,0,0,0,0
242,กันยายน,2567,สายสีน้ำเงิน ,1,38,38,1,0,0,0,0,0,0,0,0,0
243,กันยายน,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
244,กันยายน,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),2,10,10,0,0,2,0,0,0,0,0,0,0
245,กันยายน,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
246,กันยายน,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
247,กันยายน,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
248,กันยายน,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
249,ตุลาคม,2567,สายสีเขียว (สายสุขุมวิท),3,45,122,0,0,2,1,0,0,0,0,0,0
250,ตุลาคม,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
251,ตุลาคม,2567,สายสีทอง,1,0,0,0,0,0,0,0,0,0,0,0,1
252,ตุลาคม,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
253,ตุลาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
254,ตุลาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),8,79,0,1,3,0,0,0,0,0,3,0,1
255,ตุลาคม,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
256,ตุลาคม,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
257,ตุลาคม,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
258,ตุลาคม,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
259,พฤศจิกายน,2567,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
260,พฤศจิกายน,2567,สายสีเขียว (สายสีลม),1,9,0,0,0,0,0,0,0,0,1,0,0
261,พฤศจิกายน,2567,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
262,พฤศจิกายน,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
263,พฤศจิกายน,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
264,พฤศจิกายน,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),2,34,65,0,1,1,0,0,0,0,0,0,0
265,พฤศจิกายน,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
266,พฤศจิกายน,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
267,พฤศจิกายน,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
268,พฤศจิกายน,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
269,ธันวาคม,2567,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
270,ธันวาคม,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
271,ธันวาคม,2567,สายสีทอง,1,17,0,0,0,1,0,0,0,0,0,0,0
272,ธันวาคม,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
273,ธันวาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
274,ธันวาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),5,73,0,1,1,2,1,0,0,0,0,0,0
275,ธันวาคม,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
276,ธันวาคม,2567,สายสีแดงตะวันตก,1,20,65,0,0,0,0,0,0,0,0,0,1
277,ธันวาคม,2567,สายสีเหลือง,1,0,71,0,0,0,0,0,1,0,0,0,0
278,ธันวาคม,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
279,มกราคม,2568,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
280,มกราคม,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
281,มกราคม,2568,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
282,มกราคม,2568,สายสีน้ำเงิน ,1,45,0,0,0,0,0,0,1,0,0,0,0
283,มกราคม,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
284,มกราคม,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),2,15,0,0,2,0,0,0,0,0,0,0,0
285,มกราคม,2568,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
286,มกราคม,2568,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
287,มกราคม,2568,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
288,มกราคม,2568,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
289,กุมภาพันธ์,2568,สายสีเขียว (สายสุขุมวิท),1,9,0,0,0,0,0,0,0,0,1,0,0
